"2019-10-06 16:26:02 [main] INFO  w.i.c.WorkshopRestControllerAbstractIT - Starting WorkshopRestControllerAbstractIT on XIAOMI-PRO with PID 3772 (started by Sersus in C:\Users\Sersus\IdeaProjects\WORKSHOP\application)
""2019-10-06 16:26:02 [main] INFO  w.i.c.WorkshopRestControllerAbstractIT - No active profile set, falling back to default profiles: default
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Position.employees] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Department] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.User.externalAuthorities] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Task] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Task.classifiers] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Order.tasks] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Department.positions] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.User.phones] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Order] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Employee.phones] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.InternalAuthority] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:10 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.WorkshopEntityType] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:14 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-10-06 16:26:19 [main] INFO  w.i.c.WorkshopRestControllerAbstractIT - Started WorkshopRestControllerAbstractIT in 17.511 seconds (JVM running for 20.227)
""2019-10-06 16:26:19 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Department has been persisted.
""2019-10-06 16:26:19 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:19 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Position has been persisted.
""2019-10-06 16:26:19 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:19 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Position has been persisted.
""2019-10-06 16:26:20 [main] WARN  o.s.orm.jpa.JpaTransactionManager - Custom isolation level specified but no actual transaction initiated; isolation level will effectively be ignored: PROPAGATION_SUPPORTS,ISOLATION_READ_COMMITTED,readOnly
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Classifier has been persisted.
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Classifier has been persisted.
""2019-10-06 16:26:21 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Department has been persisted.
""2019-10-06 16:26:21 [main] INFO  w.i.c.WorkshopRestControllersMethodSecurityIT - Starting WorkshopRestControllersMethodSecurityIT on XIAOMI-PRO with PID 3772 (started by Sersus in C:\Users\Sersus\IdeaProjects\WORKSHOP\application)
""2019-10-06 16:26:21 [main] INFO  w.i.c.WorkshopRestControllersMethodSecurityIT - No active profile set, falling back to default profiles: default
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[default-update-timestamps-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[default-query-results-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.WorkshopEntityType] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Department] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Employee] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Classifier] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Position] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.AuthorityPermission] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.User.phones] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Order.tasks] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Task.classifiers] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Order] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Position.employees] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.InternalAuthority] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.User.orders] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Department.positions] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.User] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.ExternalAuthority] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Employee.phones] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Task] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.User.externalAuthorities] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[workshop.internal.entities.Phone] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-10-06 16:26:24 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-10-06 16:26:26 [main] INFO  w.i.c.WorkshopRestControllersMethodSecurityIT - Started WorkshopRestControllersMethodSecurityIT in 5.243 seconds (JVM running for 27.576)
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=admin@workshop.pro is found
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Classifier has been persisted.
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Classifier has been persisted.
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Order has been persisted.
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Authentication=employee@workshop.pro is found
""2019-10-06 16:26:27 [main] INFO  w.i.dao.WorkshopEntitiesDaoAbstract - Task has been persisted.
""2019-10-06 16:26:27 [main] INFO  w.i.c.ExceptionHandlerController - WorkshopEntity.name=Admin not found!
"workshop.internal.exceptions.EntityNotFoundException: WorkshopEntity.name=Admin not found!
	at workshop.internal.services.WorkshopEntitiesServiceAbstract.lambda$findByProperty$1(WorkshopEntitiesServiceAbstract.java:138) ~[classes/:na]
	at java.util.Optional.orElseThrow(Optional.java:290) ~[na:1.8.0_212]
	at workshop.internal.services.WorkshopEntitiesServiceAbstract.findByProperty(WorkshopEntitiesServiceAbstract.java:135) ~[classes/:na]
	at workshop.internal.services.WorkshopEntitiesServiceAbstract$$FastClassBySpringCGLIB$$5a2c3c29.invoke(<generated>) ~[classes/:na]
	at org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218) ~[spring-core-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:749) ~[spring-aop-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163) ~[spring-aop-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:295) ~[spring-tx-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:98) ~[spring-tx-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186) ~[spring-aop-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:688) ~[spring-aop-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at workshop.internal.services.InternalAuthoritiesService$$EnhancerBySpringCGLIB$$b31a06e1.findByProperty(<generated>) ~[classes/:na]
	at workshop.security.WorkshopPermissionEvaluator.lambda$finalAuthenticationEvaluation$2(WorkshopPermissionEvaluator.java:184) ~[classes/:na]
	at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:267) ~[na:1.8.0_212]
	at java.util.ArrayList$ArrayListSpliterator.tryAdvance(ArrayList.java:1359) ~[na:1.8.0_212]
	at java.util.stream.ReferencePipeline.forEachWithCancel(ReferencePipeline.java:126) ~[na:1.8.0_212]
	at java.util.stream.AbstractPipeline.copyIntoWithCancel(AbstractPipeline.java:498) ~[na:1.8.0_212]
	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:485) ~[na:1.8.0_212]
	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:471) ~[na:1.8.0_212]
	at java.util.stream.MatchOps$MatchOp.evaluateSequential(MatchOps.java:230) ~[na:1.8.0_212]
	at java.util.stream.MatchOps$MatchOp.evaluateSequential(MatchOps.java:196) ~[na:1.8.0_212]
	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) ~[na:1.8.0_212]
	at java.util.stream.ReferencePipeline.anyMatch(ReferencePipeline.java:449) ~[na:1.8.0_212]
	at workshop.security.WorkshopPermissionEvaluator.finalAuthenticationEvaluation(WorkshopPermissionEvaluator.java:188) ~[classes/:na]
	at workshop.security.WorkshopPermissionEvaluator.evaluateParameters(WorkshopPermissionEvaluator.java:107) ~[classes/:na]
	at workshop.security.WorkshopPermissionEvaluator.hasPermission(WorkshopPermissionEvaluator.java:67) ~[classes/:na]
	at org.springframework.security.access.expression.SecurityExpressionRoot.hasPermission(SecurityExpressionRoot.java:181) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:1.8.0_212]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:1.8.0_212]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_212]
	at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_212]
	at org.springframework.expression.spel.support.ReflectiveMethodExecutor.execute(ReflectiveMethodExecutor.java:130) ~[spring-expression-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.expression.spel.ast.MethodReference.getValueInternal(MethodReference.java:138) ~[spring-expression-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.expression.spel.ast.MethodReference.getValueInternal(MethodReference.java:94) ~[spring-expression-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.expression.spel.ast.SpelNodeImpl.getTypedValue(SpelNodeImpl.java:114) ~[spring-expression-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.expression.spel.standard.SpelExpression.getValue(SpelExpression.java:300) ~[spring-expression-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.security.access.expression.ExpressionUtils.evaluateAsBoolean(ExpressionUtils.java:26) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.access.expression.method.ExpressionBasedPreInvocationAdvice.before(ExpressionBasedPreInvocationAdvice.java:59) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.access.prepost.PreInvocationAuthorizationAdviceVoter.vote(PreInvocationAuthorizationAdviceVoter.java:72) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.access.prepost.PreInvocationAuthorizationAdviceVoter.vote(PreInvocationAuthorizationAdviceVoter.java:40) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.access.vote.AffirmativeBased.decide(AffirmativeBased.java:63) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.access.intercept.AbstractSecurityInterceptor.beforeInvocation(AbstractSecurityInterceptor.java:233) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.access.intercept.aopalliance.MethodSecurityInterceptor.invoke(MethodSecurityInterceptor.java:65) ~[spring-security-core-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186) ~[spring-aop-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:688) ~[spring-aop-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at workshop.controllers.internal.rest.ClassifiersRestController$$EnhancerBySpringCGLIB$$3372b1b8_2.getTasks(<generated>) ~[classes/:na]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:1.8.0_212]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:1.8.0_212]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_212]
	at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_212]
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:190) ~[spring-web-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:138) ~[spring-web-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:104) ~[spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:892) ~[spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:797) ~[spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87) ~[spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1039) ~[spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:942) ~[spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1005) [spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:897) [spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:634) ~[tomcat-embed-core-9.0.19.jar:9.0.19]
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:882) [spring-webmvc-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.test.web.servlet.TestDispatcherServlet.service(TestDispatcherServlet.java:71) [spring-test-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:741) ~[tomcat-embed-core-9.0.19.jar:9.0.19]
	at org.springframework.mock.web.MockFilterChain$ServletFilterProxy.doFilter(MockFilterChain.java:166) [spring-test-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:133) [spring-test-5.1.7.RELEASE.jar:5.1.7.RELEASE]
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:320) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke(FilterSecurityInterceptor.java:127) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter(FilterSecurityInterceptor.java:91) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:119) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.session.SessionManagementFilter.doFilter(SessionManagementFilter.java:137) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [spring-security-web-5.1.5.RELEASE.jar:5.1.5.RELEASE]
